timestamp,exchange,event_type,route,surface_perc,real_perc,net_perc,filled_fraction
2026-05-19T19:59:25.609,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.20165952,,,
2026-05-19T19:59:34.249,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.79050375,,,0.8383
2026-05-19T19:59:34.249,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.32040011,,,0.2934
2026-05-19T19:59:34.360,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.12503419,,,
2026-05-19T19:59:35.358,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.33250805,0.33250805,-0.06749195,
2026-05-19T19:59:37.872,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.10875134,,,
2026-05-19T19:59:38.083,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.37725939,0.37725939,-0.02274061,
2026-05-19T19:59:39.173,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.10875134,,,
2026-05-19T19:59:41.208,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.33250805,0.33250805,-0.06749195,
2026-05-19T19:59:42.718,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
2026-05-19T19:59:43.342,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.55626476,0.55626476,0.15626476,
2026-05-19T19:59:44.328,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
2026-05-19T19:59:45.129,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.20165952,,,
2026-05-19T19:59:47.123,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,,,0.5659
2026-05-19T19:59:47.884,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.10351882,,,
2026-05-19T19:59:49.013,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,,,0.5659
2026-05-19T19:59:51.076,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T19:59:51.622,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,0.39794093,-0.00205907,
2026-05-19T19:59:51.680,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T19:59:51.832,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.55626476,0.55626476,0.15626476,
2026-05-19T19:59:51.832,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.98678516,,,0.5659
2026-05-19T19:59:51.882,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.19825403,,,
2026-05-19T19:59:54.642,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T19:59:55.071,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.49608163,0.49608163,0.09608163,
2026-05-19T19:59:57.880,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.37725939,,,0.1064
2026-05-19T19:59:57.942,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
2026-05-19T19:59:58.228,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.32040011,,,0.3480
2026-05-19T19:59:59.091,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.00000000,,,
2026-05-19T19:59:59.858,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.73527013,0.73527013,0.33527013,
2026-05-19T20:00:06.522,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.19825403,,,
2026-05-19T20:00:07.078,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T20:00:08.028,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.49608163,,,0.1637
2026-05-19T20:00:08.134,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.38507086,,,0.2199
2026-05-19T20:00:08.258,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.00000000,,,
2026-05-19T20:00:08.504,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.65504415,,,0.4150
2026-05-19T20:00:08.783,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.00000000,,,
2026-05-19T20:00:09.023,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.46676208,0.46676208,0.06676208,
2026-05-19T20:00:09.231,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.38986355,,,0.0014
2026-05-19T20:00:09.341,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
2026-05-19T20:00:09.392,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.64576744,0.64576744,0.24576744,
2026-05-19T20:00:09.445,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
2026-05-19T20:00:09.827,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.00000000,,,
2026-05-19T20:00:10.951,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.78002147,0.78002147,0.38002147,
2026-05-19T20:00:30.640,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.10875134,,,
2026-05-19T20:00:32.189,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.20165952,,,
2026-05-19T20:00:34.213,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,,,0.5659
2026-05-19T20:00:36.292,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.55626476,0.55626476,0.15626476,
2026-05-19T20:00:36.342,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.36176917,,,0.6670
2026-05-19T20:00:38.120,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.16726962,,,
2026-05-19T20:00:40.698,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.80093234,,,0.1510
2026-05-19T20:00:41.561,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.00000000,,,
2026-05-19T20:00:42.936,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
